"Identifiant action de formation";"Enseignements optionnels et langues de classe de 2nde GT";"Identifiant et fiche onisep lieu de cours";"UAI lieu de cours";"Libellé lieu de cours";"Adresse lieu de cours";"Boîte postale lieu de cours";"Code postal lieu de cours";"Commune lieu de cours";"Département lieu de cours";"Région lieu de cours";"Académie lieu de cours";"AF date création";"AF date de modification"
AF.90072;"Arts : arts plastiques / Chinois / Création et culture-design / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / LV1 : anglais / LV2 : espagnol, anglais, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10316;0061884R;"Lycée Henri Matisse";"101 avenue Foch";;6140;Vence;Alpes-Maritimes;"Provence-Alpes-Côte d'Azur";Nice;06/06/2020;06/06/2020
AF.53722;"Arts : arts plastiques / Arts : danse / Arts : musique / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / Russe / LV1 : anglais, allemand / LV2 : anglais, allemand, espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9411;0290007A;"Lycée La Pérouse - Kerichen";"34 bis rue Jules Lesven";"BP 90007";29801;Brest;Finistère;Bretagne;Rennes;06/06/2020;10/04/2024
AF.76580;"Arts : musique / Éducation physique et sportive / Espagnol / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12429;0671618V;"Lycée privé Séminaire de jeunes";"60 Grand'Rue";;67360;Walbourg;Bas-Rhin;"Grand Est";Strasbourg;06/06/2020;06/06/2020
AF.79046;"LV1 : anglais / LV2 : espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10778;0931026K;"Lycée polyvalent privé Protectorat Saint-Joseph";"36 rue Jacques Duclos";;93600;Aulnay-sous-Bois;Seine-Saint-Denis;Ile-de-France;Créteil;06/06/2020;06/06/2020
AF.2043;"Arabe / Arts : cinéma-audiovisuel / Création et innovation technologiques / Éducation physique et sportive / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / Sciences de l'ingénieur / Sciences et laboratoire / LV1 : espagnol, anglais, allemand, arabe / LV2 : espagnol, anglais, allemand, arabe";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5933;0410001D;"Lycée polyvalent international Robert Badinter";"13 avenue de Châteaudun";;41018;Blois;Loir-et-Cher;"Centre-Val de Loire";Orléans-Tours;06/06/2020;19/03/2024
AF.42297;"Création et innovation technologiques / Éducation physique et sportive / Langues et cultures de l'Antiquité : latin / Sciences de l'ingénieur / Sciences et laboratoire / LV1 : espagnol, anglais, allemand / LV2 : espagnol, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4943;9741051Z;"Lycée polyvalent Paul Moreau";"51 chemin Bras Panon";"BP 67";97412;Bras-Panon;"La Réunion";"La Réunion";"La Réunion";06/06/2020;06/06/2020
AF.72645;"Arts : cinéma-audiovisuel / Biotechnologies / Création et innovation technologiques / Santé et social / Sciences de l'ingénieur / LV1 : anglais / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7210;0530012A;"Lycée Réaumur";"39 avenue Chanzy";"BP 91329";53013;Laval;Mayenne;"Pays de la Loire";Nantes;06/06/2020;20/10/2022
AF.32621;"Arts : arts plastiques / Création et innovation technologiques / Éducation physique et sportive / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / Management et gestion / Provençal / Italien / Sciences de l'ingénieur / Sciences et laboratoire / LV1 : anglais / LV2 : espagnol, allemand, italien, provençal";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6402;0130143K;"Lycée polyvalent Paul Langevin";"131 avenue Dr Fleming";"BP 19";13691;Martigues;Bouches-du-Rhône;"Provence-Alpes-Côte d'Azur";Aix-Marseille;06/06/2020;06/04/2023
AF.7917;"Arts : cinéma-audiovisuel / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / Management et gestion / Sciences et laboratoire / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10734;0620070P;"Lycée Diderot";"Esplanade Alfred Peugnet";"BP 80059";62211;Carvin;Pas-de-Calais;Hauts-de-France;Lille;06/06/2020;06/06/2020
AF.7859;"Arts : arts plastiques / Arts : musique / Création et innovation technologiques / Éducation physique et sportive / Santé et social / Sciences de l'ingénieur / LV1 : anglais / LV2 : espagnol, allemand, chinois";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6762;0110007Y;"Lycée polyvalent Jules Fil";"Boulevard I. et F. Joliot Curie";"CS 50076";11890;Carcassonne;Aude;Occitanie;Montpellier;06/06/2020;22/10/2025
AF.48516;"Arts : arts plastiques / Langues et cultures de l'Antiquité : latin / LV1 : anglais / LV2 : espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2318;0312995M;"Lycée polyvalent Martin Malvy";"27 chemin de la Reye";;31220;Cazères;Haute-Garonne;Occitanie;Toulouse;06/06/2020;09/04/2021
AF.47941;"Écologie, agronomie, territoires, développement durable / Éducation physique et sportive / Hippologie et équitation / Pratiques physiques et sportives / Pratiques professionnelles / Pratiques sociales et culturelles / LV1 : anglais, espagnol / LV2 : anglais, espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14059;0470662P;"Lycée agricole Armand Fallières";"Route de Francescas";;47600;Nérac;Lot-et-Garonne;Nouvelle-Aquitaine;Bordeaux;06/06/2020;06/03/2025
AF.71005;"Arts : arts plastiques / Arts : musique / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / Russe / LV1 : allemand, anglais / LV2 : allemand, anglais, espagnol, russe";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15786;0370035M;"Lycée Descartes";"10 rue des Minimes";"BP 1009";37010;Tours;Indre-et-Loire;"Centre-Val de Loire";Orléans-Tours;06/06/2020;19/03/2024
AF.103598;"LV1 : anglais / LV2 : allemand, espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19145;0492224B;"Lycée polyvalent de l'Hyrôme";"71 rue Nationale";;49120;Chemillé-en-Anjou;Maine-et-Loire;"Pays de la Loire";Nantes;25/02/2022;10/03/2022
AF.65165;"Arts : arts plastiques / Éducation physique et sportive / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / Russe / Italien / LV1 : anglais, allemand / LV2 : espagnol, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8629;0131341M;"Lycée Notre-Dame de Sion";"231 rue Paradis";;13006;Marseille;Bouches-du-Rhône;"Provence-Alpes-Côte d'Azur";Aix-Marseille;06/06/2020;06/06/2020
AF.6044;"Langues et cultures de l'Antiquité : latin / LV1 : anglais / LV2 : espagnol, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17945;0694197M;"Lycée Saint-Charles";"2831 route de Strasbourg";;69140;Rillieux-la-Pape;Rhône;Auvergne-Rhône-Alpes;Lyon;06/06/2020;06/06/2020
AF.42360;"Langues et cultures de l'Antiquité : latin / Management et gestion / Santé et social / Sciences de l'ingénieur / LV1 : espagnol, anglais, allemand / LV2 : espagnol, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12847;0331501C;"Lycée privé Sainte-Marie Bastide";"45 rue de Dijon";"CS 41195";33072;Bordeaux;Gironde;Nouvelle-Aquitaine;Bordeaux;06/06/2020;06/06/2020
AF.65311;"Écologie, agronomie, territoires, développement durable / Éducation physique et sportive / Pratiques sociales et culturelles / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14437;0711068A;"Lycée d'enseignement général et technologique agricole de Fontaines";"10 La Platière";;71150;Fontaines;Saône-et-Loire;Bourgogne-Franche-Comté;Dijon;06/06/2020;06/06/2020
AF.90079;"Arts : arts plastiques / Arts : théâtre / Éducation physique et sportive / Espagnol / Allemand / Russe / Chinois / Italien / Langue des signes française / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / Sciences de l'ingénieur / Sciences et laboratoire / LV1 : espagnol, anglais, chinois / LV2 : espagnol, anglais, allemand, russe, chinois, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13657;0300080Z;"Lycée privé polyvalent Institut Emmanuel d'Alzon - site de Nîmes";"11 rue Sainte-Perpétue";;30000;Nîmes;Gard;Occitanie;Montpellier;06/06/2020;23/10/2025
AF.13462;"Arts : cinéma-audiovisuel / Éducation physique et sportive / Langues et cultures de l'Antiquité : latin / Occitan / LV1 : espagnol, anglais / LV2 : espagnol, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13205;0650038N;"Lycée général Pierre Mendès France";"19 rue du Collège";"BP 80027";65501;Vic-en-Bigorre;Hautes-Pyrénées;Occitanie;Toulouse;06/06/2020;05/02/2024
AF.88380;"Arts : arts plastiques / Arts : théâtre / Hébreu moderne / Italien / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / Management et gestion / LV1 : anglais / LV2 : espagnol, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12157;0920143F;"Lycée La Folie Saint-James";"41 rue de Longchamp";;92200;Neuilly-sur-Seine;Hauts-de-Seine;Ile-de-France;Versailles;06/06/2020;06/06/2020
AF.19304;"Arts : musique / Arts : théâtre / Éducation physique et sportive / Espagnol / Allemand / Langues et cultures de l'Antiquité : latin / Management et gestion / Sciences et laboratoire / LV1 : anglais, allemand, espagnol / LV2 : allemand, anglais, espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7903;0593139S;"Lycée Sacré-Coeur";"111 rue de Lille";;59200;Tourcoing;Nord;Hauts-de-France;Lille;06/06/2020;12/02/2026
AF.27156;"Arts : arts plastiques / Arts : cinéma-audiovisuel / Arts : histoire des arts / Arts : musique / Arts : théâtre / Création et innovation technologiques / Éducation physique et sportive / Langues et cultures de l'Antiquité : latin / Management et gestion / Russe / Chinois / Italien / Sciences de l'ingénieur / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.798;0010016M;"Lycée polyvalent Joseph-Marie Carriat";"1 rue de Crouy";;1000;Bourg-en-Bresse;Ain;Auvergne-Rhône-Alpes;Lyon;06/06/2020;01/02/2021
AF.49808;"Arts : histoire des arts / Basque / Éducation physique et sportive / Management et gestion / LV1 : espagnol, anglais / LV2 : espagnol, anglais, allemand, basque";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1596;0640111Y;"Lycée privé Largenté";"42 avenue Jacques Loëb";;64100;Bayonne;Pyrénées-Atlantiques;Nouvelle-Aquitaine;Bordeaux;06/06/2020;11/02/2021
AF.19335;"Biotechnologies / Création et innovation technologiques / Italien / Management et gestion / Santé et social / LV1 : anglais / LV2 : espagnol, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13897;0133424B;"Lycée polyvalent Caucadis";"Boulevard Alfred Casile";;13127;Vitrolles;Bouches-du-Rhône;"Provence-Alpes-Côte d'Azur";Aix-Marseille;06/06/2020;06/06/2020
AF.49748;"Création et culture-design / Création et innovation technologiques / Sciences de l'ingénieur / LV1 : anglais / LV2 : espagnol, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1236;0061478Z;"Lycée Léonard de Vinci";"214 rue Jean Joannon";"BP 739";6633;Antibes;Alpes-Maritimes;"Provence-Alpes-Côte d'Azur";Nice;06/06/2020;06/06/2020
AF.53772;"Arts : arts plastiques / Arts : musique / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / LV1 : anglais, allemand, russe / LV2 : espagnol, anglais, allemand, russe";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9308;0782562L;"Lycée Hoche";"73 avenue de Saint-Cloud";"BP 202";78000;Versailles;Yvelines;Ile-de-France;Versailles;06/06/2020;18/05/2022
AF.13433;"Arts : arts plastiques / Arts : musique / Atelier artistique / Chinois / Italien / Russe / Éducation physique et sportive / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / Santé et social / Sciences et laboratoire / LV1 : anglais, allemand / LV2 : anglais, allemand, espagnol, chinois, italien, russe";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6561;0560025Y;"Lycée Dupuy de Lôme";"4 rue Jean le Coutaller";"BP 2136";56321;Lorient;Morbihan;Bretagne;Rennes;06/06/2020;10/07/2025
AF.25044;"Arts : musique / Italien / Langues et cultures de l'Antiquité : latin / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1953;0380097Z;"Lycée climatique Jean Prévost";"470 rue de Tintaine";"BP 62";38250;Villard-de-Lans;Isère;Auvergne-Rhône-Alpes;Grenoble;06/06/2020;23/11/2021
AF.66939;"Arts : théâtre / Biotechnologies / Création et innovation technologiques / Sciences de l'ingénieur / Sciences et laboratoire / LV1 : anglais, allemand / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18342;0332870R;"Lycée polyvalent de la mer";"Port de la Barbotière";;33470;Gujan-Mestras;Gironde;Nouvelle-Aquitaine;Bordeaux;06/06/2020;12/04/2021
AF.53807;"Arts : arts plastiques / Italien / Langues et cultures de l'Antiquité : latin / LV1 : anglais, allemand, italien / LV2 : espagnol, allemand, russe, anglais, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9799;0750693W;"Lycée Buffon";"16 boulevard Pasteur";;75015;Paris;Paris;Ile-de-France;Paris;06/06/2020;20/01/2025
AF.71000;"Arts : arts plastiques / Chinois / Italien / Éducation physique et sportive / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / LV1 : espagnol, anglais, allemand / LV2 : allemand, anglais, chinois, espagnol, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5200;0870864S;"Lycée privé Saint-Jean";"26 rue Eugène Varlin";"BP 870";87016;Limoges;Haute-Vienne;Nouvelle-Aquitaine;Limoges;06/06/2020;16/04/2025
AF.53465;"Arts : arts plastiques / Management et gestion / LV1 : allemand, anglais / LV2 : allemand, anglais, espagnol, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18183;0134000C;"Sainte Victoire International School";"Chemin de Maurel, domaine Château de l'Arc";;13710;Fuveau;Bouches-du-Rhône;"Provence-Alpes-Côte d'Azur";Aix-Marseille;06/06/2020;03/06/2025
AF.25032;"LV1 : anglais / LV2 : espagnol, hébreu moderne";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14331;0132472S;"Lycée Yavné";"44-46 boulevard Barry, Saint Just";;13013;Marseille;Bouches-du-Rhône;"Provence-Alpes-Côte d'Azur";Aix-Marseille;06/06/2020;06/06/2020
AF.88312;"Éducation physique et sportive / Italien / Langues et cultures de l'Antiquité : latin / LV1 : anglais / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11464;0101028N;"Lycée Camille Claudel";"28 rue des Terrasses";"BP 395";10026;Troyes;Aube;"Grand Est";Reims;06/06/2020;06/06/2020
AF.131551;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23611;0942531R;"Lycée polyvalent Vincennes";"106 rue de la Jarry";;94300;Vincennes;Val-de-Marne;Ile-de-France;Créteil;02/07/2024;02/07/2024
AF.70973;"Arts : arts plastiques / Arts : musique / Éducation physique et sportive / Espagnol / Italien / Langues et cultures de l'Antiquité : latin / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14088;0251024C;"Lycée général et technologique privé Les Augustins";"1 rue du faubourg Saint-Étienne";;25300;Pontarlier;Doubs;Bourgogne-Franche-Comté;Besançon;06/06/2020;20/05/2021
AF.21264;"Arts : arts plastiques / Hébreu moderne / Management et gestion / LV1 : anglais / LV2 : espagnol, hébreu moderne";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.961;0753935V;"Lycée privé Georges Leven";"30 boulevard Carnot";;75012;Paris;Paris;Ile-de-France;Paris;06/06/2020;06/06/2020
AF.36629;"Arts : arts plastiques / Éducation physique et sportive / Espagnol / Chinois / Langues et cultures de l'Antiquité : latin / Management et gestion / Sciences de l'ingénieur / Sciences et laboratoire / LV1 : anglais, allemand / LV2 : anglais, allemand, chinois, espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2234;0590093F;"Lycée polyvalent Beaupré";"8 avenue de Beaupré";"BP 70079";59481;Haubourdin;Nord;Hauts-de-France;Lille;06/06/2020;16/02/2026
AF.19332;"Arts : cinéma-audiovisuel / Italien / Langues et cultures de l'Antiquité : latin / Management et gestion / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19719;0781861Z;"Lycée Louis de Broglie";"1 avenue Jean Béranger";;78160;Marly-le-Roi;Yvelines;Ile-de-France;Versailles;06/06/2020;06/06/2020
AF.82425;"Écologie, agronomie, territoires, développement durable / Hippologie et équitation / LV1 : anglais / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1285;0691678Z;"Institut Sandar La Salle";"392 chemin de la Sablière";"BP 17";69579;Limonest;Rhône;Auvergne-Rhône-Alpes;Lyon;06/06/2020;05/05/2023
AF.19492;"Arts : arts plastiques / Espagnol / Langues et cultures de l'Antiquité : latin / Management et gestion / Sciences de l'ingénieur / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18729;0730037U;"Lycée polyvalent Paul Héroult";"307 avenue du Mont Cenis";"BP 105";73302;Saint-Jean-de-Maurienne;Savoie;Auvergne-Rhône-Alpes;Grenoble;06/06/2020;26/06/2025
AF.25061;"Arts : cinéma-audiovisuel / Chinois / Langues et cultures de l'Antiquité : latin / LV1 : anglais, allemand, espagnol / LV2 : espagnol, allemand, anglais";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.803;0141172Y;"Lycée Marie Joseph";"2 avenue de la Marnière";;14360;Trouville-sur-Mer;Calvados;Normandie;Normandie;06/06/2020;02/04/2025
AF.21324;"Arts : arts plastiques / Arts : théâtre / Chinois / Italien / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / Management et gestion / LV1 : anglais / LV2 : espagnol, allemand, russe";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11219;0920875B;"Lycée Sainte-Marie de Neuilly";"24 boulevard Victor Hugo";;92200;Neuilly-sur-Seine;Hauts-de-Seine;Ile-de-France;Versailles;06/06/2020;06/06/2020
AF.65111;"Arts : théâtre / Éducation physique et sportive / Sciences de l'ingénieur / LV1 : anglais / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10083;0851346B;"Lycée François Truffaut";"8 rue de la Cailletière";;85300;Challans;Vendée;"Pays de la Loire";Nantes;06/06/2020;10/02/2025
AF.82429;"Arts : arts plastiques / Italien / Japonais / Langues et cultures de l'Antiquité : latin / Management et gestion / LV1 : allemand, anglais / LV2 : allemand, espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19379;0350778F;"Lycée la Mennais";"20 square Charles de Gaulle";;35240;Retiers;Ille-et-Vilaine;Bretagne;Rennes;06/06/2020;14/04/2022
AF.33317;"Arts : arts plastiques / Éducation physique et sportive / Italien / Langues et cultures de l'Antiquité : latin / Management et gestion / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18097;0841093G;"Lycée Lucie Aubrac";"224 avenue Ernest Laffont";;84500;Bollène;Vaucluse;"Provence-Alpes-Côte d'Azur";Aix-Marseille;06/06/2020;06/06/2020
AF.65347;"Biotechnologies / Management et gestion / Santé et social / LV1 : anglais / LV2 : espagnol, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9148;0741101V;"Lycée polyvalent privé les Bressis";"85 route des Creuses, Seynod";;74600;Annecy;Haute-Savoie;Auvergne-Rhône-Alpes;Grenoble;06/06/2020;26/01/2024
AF.76643;"Arts : arts plastiques / Arts : musique / Biotechnologies / Éducation physique et sportive / Espagnol / Russe / Chinois / Langue des signes française / Langues et cultures de l'Antiquité : latin / Santé et social / LV1 : anglais, allemand / LV2 : allemand, anglais, chinois, espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18861;0492407A;"Lycée Urbain Mongazon";"1 rue du Colombier";"BP 13624";49036;Angers;Maine-et-Loire;"Pays de la Loire";Nantes;06/06/2020;07/02/2025
AF.65210;"Biotechnologies / Éducation physique et sportive / Santé et social / Sciences et laboratoire / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4392;0623902E;"Lycée polyvalent Marguerite Yourcenar";"68 rue Antoine de Saint-Exupéry";"BP 35";62660;Beuvry;Pas-de-Calais;Hauts-de-France;Lille;06/06/2020;06/06/2020
AF.24944;"Basque / Éducation physique et sportive / Langues et cultures de l'Antiquité : latin / Sciences et laboratoire / LV1 : espagnol, anglais / LV2 : espagnol, anglais";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6578;0641844G;"Lycée polyvalent de Navarre";"284 allée Catherine Lapistoy";"BP 1";64220;Saint-Jean-Pied-de-Port;Pyrénées-Atlantiques;Nouvelle-Aquitaine;Bordeaux;06/06/2020;06/06/2020
AF.36644;"Arts : cinéma-audiovisuel / Arts : musique / Arts : théâtre / Langues et cultures de l'Antiquité : latin / Management et gestion / Portugais / Italien / Sciences et laboratoire / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8155;0951922Y;"Lycée Camille Saint-Saëns";"18 à 22 rue Guynemer";"BP 92";95170;Deuil-la-Barre;Val-d'Oise;Ile-de-France;Versailles;06/06/2020;06/06/2020
AF.19310;"Arts : arts plastiques / Arts : cinéma-audiovisuel / Arts : musique / Arts : théâtre / Création et innovation technologiques / Espagnol / Chinois / Italien / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / Sciences de l'ingénieur / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand, chinois";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13546;0690550Y;"Lycée Saint-Joseph";"7 rue du Lieutenant Audras";;69160;Tassin-la-Demi-Lune;Rhône;Auvergne-Rhône-Alpes;Lyon;06/06/2020;19/03/2025
AF.82491;"Arts : théâtre / Biotechnologies / Santé et social / Sciences et laboratoire / LV1 : anglais / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10760;0782557F;"Lycée Jean-Baptiste Poquelin";"72 rue Léon Désoyer";"BP 1142";78100;Saint-Germain-en-Laye;Yvelines;Ile-de-France;Versailles;06/06/2020;06/06/2020
AF.30927;"Arts : arts plastiques / Arts : musique / Biotechnologies / Langues et cultures de l'Antiquité : latin / Management et gestion / Santé et social / LV1 : anglais, allemand / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8409;0781664K;"Lycée Sainte-Thérèse";"7 rue Beziel";;78120;Rambouillet;Yvelines;Ile-de-France;Versailles;06/06/2020;06/06/2020
AF.71008;"Écologie, agronomie, territoires, développement durable / Pratiques physiques et sportives / Pratiques professionnelles / LV1 : anglais / LV2 : espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10092;0771357G;"Lycée d'enseignement général technologique et professionnel agricole La Bretonnière";"67 rue du sequoia, La Bretonnière";;77120;Chailly-en-Brie;Seine-et-Marne;Ile-de-France;Créteil;06/06/2020;04/05/2023
AF.32698;"Arts : cinéma-audiovisuel / Éducation physique et sportive / Italien / Langues et cultures de l'Antiquité : latin / Management et gestion / Sciences de l'ingénieur / LV1 : anglais, allemand, espagnol / LV2 : espagnol, anglais, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.996;0451483T;"Lycée polyvalent Maurice Genevoix";"1 avenue de la Grenaudière";"BP 30";45147;Ingré;Loiret;"Centre-Val de Loire";Orléans-Tours;06/06/2020;19/03/2024
AF.55723;"Arts : arts plastiques / Arts : musique / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10557;0753947H;"Lycée privé Saint-Jean de Passy";"72 rue Raynouard";;75016;Paris;Paris;Ile-de-France;Paris;06/06/2020;06/03/2026
AF.44026;"Chinois / Éducation physique et sportive / Langue des signes française / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / Sciences de l'ingénieur / LV1 : anglais, espagnol, allemand / LV2 : espagnol, allemand, italien, anglais, chinois";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12355;0310038Y;"Lycée polyvalent Bellevue";"135 route de Narbonne";"BP 44370";31031;Toulouse;Haute-Garonne;Occitanie;Toulouse;06/06/2020;19/01/2024
AF.30412;"Management et gestion / Sciences et laboratoire / LV1 : anglais / LV2 : espagnol, arabe";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19576;9760270P;"Lycée polyvalent de la Cité du Nord";"Route du collège, Mtsangadoua";"BP 120";97630;"M tsamboro";Mayotte;Mayotte;Mayotte;06/06/2020;06/06/2020
AF.59477;"Arts : arts plastiques / Arts : théâtre / Chinois / Italien / Éducation physique et sportive / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3868;0260069J;"Institution Notre-Dame";"91 rue Montplaisir";;26000;Valence;Drôme;Auvergne-Rhône-Alpes;Grenoble;06/06/2020;01/12/2021
AF.53801;"Biotechnologies / Santé et social / Sciences et laboratoire / LV1 : anglais / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7760;0332468D;"Lycée Saint-Louis";"Rue Jean Hameau";"BP 233";33028;Bordeaux;Gironde;Nouvelle-Aquitaine;Bordeaux;06/06/2020;06/06/2020
AF.70955;"Écologie, agronomie, territoires, développement durable / LV1 : anglais / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12942;0850144V;"LEGTPA Nature";"Allée des Druides";"CS 70022";85035;"La Roche-sur-Yon";Vendée;"Pays de la Loire";Nantes;06/06/2020;16/02/2024
AF.88273;"Chinois / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / LV1 : anglais / LV2 : allemand, chinois, espagnol, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7578;0440022K;"Lycée Jules Verne";"1 rue Général Meusnier";"BP 14217";44042;Nantes;Loire-Atlantique;"Pays de la Loire";Nantes;06/06/2020;06/03/2026
AF.19220;"Arts : arts plastiques / Arts : musique / Éducation physique et sportive / Espagnol / Italien / Langues et cultures de l'Antiquité : latin / LV1 : anglais / LV2 : espagnol, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8586;0430053Z;"Lycée polyvalent privé Saint-Julien";"7 place du Valla";"BP 27";43101;Brioude;Haute-Loire;Auvergne-Rhône-Alpes;Clermont-Ferrand;06/06/2020;25/06/2025
AF.82436;"Arts : musique / Arts : théâtre / Langues et cultures de l'Antiquité : latin / Management et gestion / LV1 : anglais / LV2 : espagnol, créole";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15790;9711252J;"Lycée général et technologique Robert Weinum";"Route de la Savane";;97150;Saint-Martin;Guadeloupe;Guadeloupe;Guadeloupe;06/06/2020;11/03/2022
