"Identifiant action de formation";"Enseignements de spécialité de classe de 1ère générale";"Identifiant et fiche onisep lieu de cours";"UAI lieu de cours";"Libellé lieu de cours";"Adresse lieu de cours";"Boîte postale lieu de cours";"Code postal lieu de cours";"Commune lieu de cours";"Département lieu de cours";"Région lieu de cours";"Académie lieu de cours";"AF date création";"AF date de modification"
AF.92694;"sciences économiques et sociales / LLCER espagnol / arts : arts plastiques / humanités, littérature et philosophie / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1634;0770938B;"Lycée polyvalent André Malraux";"4 avenue du Lycée, Cité scolaire";;77130;Montereau-Fault-Yonne;Seine-et-Marne;Ile-de-France;Créteil;06/06/2020;06/06/2020
AF.92708;"sciences économiques et sociales / humanités, littérature et philosophie / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / littérature et langues et cultures de l'Antiquité / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7107;0382203N;"Lycée polyvalent Pablo Neruda";"35 rue Henri Wallon";;38400;Saint-Martin-d'Hères;Isère;Auvergne-Rhône-Alpes;Grenoble;06/06/2020;29/09/2021
AF.92719;"sciences économiques et sociales / humanités, littérature et philosophie / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10037;0930834B;"Lycée Voillaume";"136 rue de Mitry";;93600;Aulnay-sous-Bois;Seine-Saint-Denis;Ile-de-France;Créteil;06/06/2020;05/06/2024
AF.92726;"sciences économiques et sociales / LLCER espagnol / arts : arts plastiques / humanités, littérature et philosophie / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / mathématiques / littérature et langues et cultures de l'Antiquité / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain / éducation physique, pratiques et culture sportives / LLCER italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14272;0132495S;"Lycée Arthur Rimbaud";"Quartier des Salles";"BP 50650";13808;Istres;Bouches-du-Rhône;"Provence-Alpes-Côte d'Azur";Aix-Marseille;06/06/2020;03/04/2023
AF.92736;"sciences économiques et sociales / arts : arts plastiques / humanités, littérature et philosophie / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / mathématiques / littérature et langues et cultures de l'Antiquité / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais / LLCER espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6235;0331636Z;"Lycée Jean Moulin";"1 boulevard François Mauriac";"BP 90286";33212;Langon;Gironde;Nouvelle-Aquitaine;Bordeaux;06/06/2020;28/03/2023
AF.92742;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / littérature et langues et cultures de l'Antiquité / physique-chimie / sciences de la vie et de la Terre / numérique et sciences informatiques";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6622;0753598D;"Lycée privé Sévigné";"28 rue Pierre Nicole";;75005;Paris;Paris;Ile-de-France;Paris;06/06/2020;01/03/2022
AF.92751;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais / LLCER espagnol / numérique et sciences informatiques";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14231;0820004J;"Lycée polyvalent Jean de Prades";"Route de Toulouse";;82100;Castelsarrasin;Tarn-et-Garonne;Occitanie;Toulouse;06/06/2020;15/05/2025
AF.63840;"sciences économiques et sociales / arts : musique / humanités, littérature et philosophie / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13265;0693330V;"Lycée polyvalent Aragon-Picasso";"12 chemin de la Côte à Cailloux";;69700;Givors;Rhône;Auvergne-Rhône-Alpes;Lyon;06/06/2020;31/01/2023
AF.63849;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16765;0754081D;"Lycée privé Sainte-Ursule Louise de Bettignies";"25 rue Daubigny";;75017;Paris;Paris;Ile-de-France;Paris;06/06/2020;04/07/2024
AF.63856;"sciences économiques et sociales / humanités, littérature et philosophie / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8446;0790019S;"Lycée Joseph Desfontaines";"2 rue Guillotiere";"BP 31";79500;Melle;Deux-Sèvres;Nouvelle-Aquitaine;Poitiers;06/06/2020;13/10/2023
AF.63867;"sciences économiques et sociales / arts : histoire des arts / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2174;0142059M;"Lycée Victor Hugo";"16 rue de la Défense Passive";;14000;Caen;Calvados;Normandie;Normandie;06/06/2020;04/02/2021
AF.63875;"sciences économiques et sociales / arts : théâtre / humanités, littérature et philosophie / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais / éducation physique, pratiques et culture sportives";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11289;9740471U;"Lycée général et technologique Jean-Claude Fruteau";"76 rue Joseph Hubert";"CS 41012";97470;Saint-Benoît;"La Réunion";"La Réunion";"La Réunion";06/06/2020;18/02/2026
AF.6394;"histoire-géographie, géopolitique et sciences politiques / humanités, littérature et philosophie / LLCER anglais / LLCER anglais - monde contemporain / LLCER espagnol / mathématiques / physique-chimie / sciences de la vie et de la Terre / sciences économiques et sociales / numérique et sciences informatiques";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3944;0212045J;"Lycée Polyvalent Étienne-Jules Marey";"5 rue du 16e Chasseur";"BP 225";21206;Beaune;Côte-d'Or;Bourgogne-Franche-Comté;Dijon;06/06/2020;16/04/2025
AF.64046;"sciences économiques et sociales / arts : théâtre / humanités, littérature et philosophie / arts : cinéma - audiovisuel / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / LLCER anglais / physique-chimie / sciences de la vie et de la Terre";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3353;9760370Y;"Lycée polyvalent des lumières de Mamoudzou nord";"Rue de la geôle, Kaweni";"BP 76";97600;Mamoudzou;Mayotte;Mayotte;Mayotte;06/06/2020;26/07/2022
AF.6418;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / physique-chimie / sciences de la vie et de la Terre / numérique et sciences informatiques";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6499;0590282L;"Lycée Jules Mousseron";"Boulevard du 8 Mai 1945";"BP 239";59723;Denain;Nord;Hauts-de-France;Lille;06/06/2020;20/10/2025
AF.6427;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12197;0370727P;"Lycée privé Saint-Grégoire";"3 place Choiseul";;37100;Tours;Indre-et-Loire;"Centre-Val de Loire";Orléans-Tours;06/06/2020;25/03/2024
AF.6432;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11941;0650040R;"Lycée général et technologique La Serre de Sarsan";"6 rue Saint-Exupéry";"BP 703";65107;Lourdes;Hautes-Pyrénées;Occitanie;Toulouse;06/06/2020;13/04/2021
