"Identifiant action de formation";"Enseignements de spécialité de classe de 1ère générale";"Identifiant et fiche onisep lieu de cours";"UAI lieu de cours";"Libellé lieu de cours";"Adresse lieu de cours";"Boîte postale lieu de cours";"Code postal lieu de cours";"Commune lieu de cours";"Département lieu de cours";"Région lieu de cours";"Académie lieu de cours";"AF date création";"AF date de modification"
AF.52434;"sciences économiques et sociales / humanités, littérature et philosophie / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / mathématiques / physique-chimie / sciences de la vie et de la Terre / langues, littératures et cultures étrangères et régionales";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19352;0711064W;"Lycée militaire national";"3 rue des Enfants de Troupe";"BP 136";71403;Autun;Saône-et-Loire;Bourgogne-Franche-Comté;Dijon;06/06/2020;06/06/2020
AF.52437;"sciences économiques et sociales / arts : histoire des arts / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / littérature et langues et cultures de l'Antiquité / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / langues, littératures et cultures étrangères et régionales";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5834;0910687C;"Lycée Fustel de Coulanges";"11 rue des Migneaux";;91300;Massy;Essonne;Ile-de-France;Versailles;06/06/2020;06/06/2020
AF.52442;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6674;0442226F;"Lycée privé la Mennais";"24 rue J B Legeay";;44350;Guérande;Loire-Atlantique;"Pays de la Loire";Nantes;06/06/2020;12/02/2021
AF.52448;"sciences économiques et sociales / arts : arts plastiques / humanités, littérature et philosophie / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais / LLCER espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9573;9720350Y;"Lycée général et technologique Frantz Fanon";"Quartier Beauséjour, Cité scolaire";;97220;"La Trinité";Martinique;Martinique;Martinique;06/06/2020;30/03/2021
AF.52451;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / physique-chimie / sciences de la vie et de la Terre";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11140;0720055U;"Lycée Paul Scarron";"579 route Paul Scarron";"BP 46";72140;Sillé-le-Guillaume;Sarthe;"Pays de la Loire";Nantes;06/06/2020;05/02/2021
AF.52456;"numérique et sciences informatiques / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / humanités, littérature et philosophie / LLCER anglais - monde contemporain / mathématiques / physique-chimie / sciences de la vie et de la Terre / sciences économiques et sociales";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14443;0220102S;"Lycée Saint-Joseph - Bossuet";"4 rue de la Bienfaisance";"BP 40434";22304;Lannion;Côtes-d'Armor;Bretagne;Rennes;06/06/2020;09/07/2025
AF.52519;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / langues, littératures et cultures étrangères et régionales";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2119;0950761L;"Lycée polyvalent privé Notre-Dame-de-la-Compassion";"8 place Nicolas-Flamel";;95000;Pontoise;Val-d'Oise;Ile-de-France;Versailles;06/06/2020;06/06/2020
AF.54755;"sciences économiques et sociales / LLCER espagnol / humanités, littérature et philosophie / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / éducation physique, pratiques et culture sportives / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19640;0442752C;"Lycée polyvalent Aimé Césaire";"1 esplanade d'Alatri";"BP 19108";44190;Clisson;Loire-Atlantique;"Pays de la Loire";Nantes;06/06/2020;10/02/2025
AF.57611;"sciences économiques et sociales / arts : arts plastiques / arts : théâtre / arts : musique / humanités, littérature et philosophie / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / arts : histoire des arts / LLCER anglais / LLCER espagnol / arts : cinéma - audiovisuel";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15207;0910620E;"Lycée Robert Doisneau";"89 avenue Serge Dassault";;91813;Corbeil-Essonnes;Essonne;Ile-de-France;Versailles;06/06/2020;16/05/2023
AF.57718;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain / éducation physique, pratiques et culture sportives";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8560;0850133H;"Lycée polyvalent Sainte-Marie du Port";"95 avenue Charles De Gaulle";"CS 63376";85109;"Les Sables-d'Olonne";Vendée;"Pays de la Loire";Nantes;06/06/2020;20/02/2026
AF.57846;"sciences économiques et sociales / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / langues, littératures et cultures étrangères et régionales / humanités, littérature et philosophie";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8908;0770934X;"Lycée polyvalent Léonard de Vinci";"2 bis rue Édouard Branly";;77000;Melun;Seine-et-Marne;Ile-de-France;Créteil;06/06/2020;23/04/2024
AF.57927;"sciences économiques et sociales / arts : arts plastiques / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER espagnol / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11675;0940743X;"Lycée polyvalent Marianne";"12 bis avenue le Foll";;94290;Villeneuve-le-Roi;Val-de-Marne;Ile-de-France;Créteil;06/06/2020;24/02/2026
AF.57943;"LLCER anglais - monde contemporain / arts : arts plastiques / histoire-géographie, géopolitique et sciences politiques / humanités, littérature et philosophie / mathématiques / physique-chimie / sciences de la vie et de la Terre / sciences économiques et sociales";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4651;0383119J;"Lycée général et technologique Pierre Béghin";"76 rue de la Roche Brune";"BP 17";38430;Moirans;Isère;Auvergne-Rhône-Alpes;Grenoble;06/06/2020;10/02/2025
AF.57951;"sciences économiques et sociales / arts : histoire des arts / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain / LLCER anglais / LLCER espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7354;0660004W;"Lycée polyvalent Déodat de Séverac";"18 avenue des Tilleuls";"BP 315";66403;Céret;Pyrénées-Orientales;Occitanie;Montpellier;06/06/2020;01/04/2021
AF.57955;"sciences économiques et sociales / arts : histoire des arts / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain / numérique et sciences informatiques";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11269;0133525L;"Lycée international Georges Duby";"200 rue Georges Duby, Quartier Rampelin";;13080;Aix-en-Provence;Bouches-du-Rhône;"Provence-Alpes-Côte d'Azur";Aix-Marseille;06/06/2020;21/04/2021
AF.57963;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / physique-chimie / sciences de la vie et de la Terre / éducation physique, pratiques et culture sportives / LLCER anglais - monde contemporain / LLCER anglais / LLCER espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7234;0300023M;"Lycée Albert Camus";"51 avenue Georges Pompidou";"BP 7069";30911;Nîmes;Gard;Occitanie;Montpellier;06/06/2020;30/03/2021
AF.57979;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14550;0670078W;"Lycée Jean Monnet";"2 place Albert Schweitzer";"CS 20240";67028;Strasbourg;Bas-Rhin;"Grand Est";Strasbourg;06/06/2020;06/06/2020
AF.57997;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / physique-chimie / sciences de la vie et de la Terre";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4246;0930833A;"Lycée Jean Zay";"12 avenue du Maréchal Juin";;93604;Aulnay-sous-Bois;Seine-Saint-Denis;Ile-de-France;Créteil;06/06/2020;06/06/2020
AF.58003;"sciences économiques et sociales / LLCER espagnol / humanités, littérature et philosophie / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / physique-chimie / sciences de la vie et de la Terre / numérique et sciences informatiques / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3313;0382838D;"Lycée général et technologique La Pléiade";"Rue du Repos";"BP 70";38232;Pont-de-Chéruy;Isère;Auvergne-Rhône-Alpes;Grenoble;06/06/2020;24/02/2026
AF.58012;"sciences de l'ingénieur / mathématiques / physique-chimie / sciences de la vie et de la Terre";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4287;0141275K;"Lycée Paul Cornu";"9 rue Paul Cornu";"BP 27225";14107;Lisieux;Calvados;Normandie;Normandie;06/06/2020;04/02/2021
AF.58018;"sciences économiques et sociales / arts : arts plastiques / humanités, littérature et philosophie / arts : cinéma - audiovisuel / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2851;0492061Z;"Lycée Auguste et Jean Renoir";"15 impasse Ampère";"BP 53512";49035;Angers;Maine-et-Loire;"Pays de la Loire";Nantes;06/06/2020;05/02/2021
AF.58035;"sciences économiques et sociales / humanités, littérature et philosophie / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / langues, littératures et cultures étrangères et régionales";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16048;0920145H;"Lycée Lakanal";"3 avenue du Président Roosevelt";"BP 99";92331;Sceaux;Hauts-de-Seine;Ile-de-France;Versailles;06/06/2020;06/06/2020
AF.58042;"sciences économiques et sociales / humanités, littérature et philosophie / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19263;0422284E;"Lycée des Horizons";"13 rue Joseph Gillet";;42140;Chazelles-sur-Lyon;Loire;Auvergne-Rhône-Alpes;Lyon;06/06/2020;23/01/2026
AF.23646;"sciences de l'ingénieur / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19442;0060075Z;"Lycée Les Eucalyptus";"7 avenue des Eucalyptus";"BP 83306";6206;Nice;Alpes-Maritimes;"Provence-Alpes-Côte d'Azur";Nice;06/06/2020;16/04/2025
AF.23652;"sciences économiques et sociales / arts : arts plastiques / humanités, littérature et philosophie / arts : cinéma - audiovisuel / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain / littérature et langues et cultures de l'Antiquité / LLCER italien / LLCER allemand / LLCER espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2887;0121438Y;"Lycée général et technologique privé François d'Estaing";"22 boulevard Denys Puech";"BP 43530";12035;Rodez;Aveyron;Occitanie;Toulouse;06/06/2020;15/05/2025
AF.23664;"sciences économiques et sociales / humanités, littérature et philosophie / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / mathématiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain / LLCER allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15752;0672614C;"Lycée polyvalent Georges Imbert";"2 rue Vincent d'Indy";"BP 90014";67261;Sarre-Union;Bas-Rhin;"Grand Est";Strasbourg;06/06/2020;02/02/2026
AF.23678;"sciences économiques et sociales / arts : histoire des arts / humanités, littérature et philosophie / arts : cinéma - audiovisuel / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / LLCER anglais - monde contemporain / mathématiques / littérature et langues et cultures de l'Antiquité / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3631;0540038Y;"Lycée Henri Poincaré";"2 rue de la Visitation";"CS 54202";54042;Nancy;Meurthe-et-Moselle;"Grand Est";Nancy-Metz;06/06/2020;07/02/2022
AF.23683;"LLCER anglais / LLCER anglais - monde contemporain / arts : arts plastiques / éducation physique, pratiques et culture sportives / histoire-géographie, géopolitique et sciences politiques / humanités, littérature et philosophie / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / sciences économiques et sociales";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5849;0731392S;"Lycée général et technologique du Granier";"185 avenue Joseph Fontanet";"BP 69";73492;"La Ravoire";Savoie;Auvergne-Rhône-Alpes;Grenoble;06/06/2020;26/01/2023
AF.23694;"sciences économiques et sociales / humanités, littérature et philosophie / arts : cinéma - audiovisuel / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13586;0132210G;"Lycée polyvalent Jean Lurçat";"11 boulevard des Rayettes";;13693;Martigues;Bouches-du-Rhône;"Provence-Alpes-Côte d'Azur";Aix-Marseille;06/06/2020;26/03/2024
AF.23699;"sciences économiques et sociales / arts : arts plastiques / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5783;0611148S;"Lycée Jean Monnet";"2 rue Jean Monnet";"BP 104";61400;Mortagne-au-Perche;Orne;Normandie;Normandie;06/06/2020;05/02/2021
AF.23708;"sciences économiques et sociales / humanités, littérature et philosophie / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13283;0750680G;"Lycée Arago";"4 place de la Nation";;75012;Paris;Paris;Ile-de-France;Paris;06/06/2020;06/03/2026
AF.23716;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / littérature et langues et cultures de l'Antiquité / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3611;0260019E;"Lycée Polyvalent Gustave Jaume";"Avenue Henri Becquerel";"BP 143";26702;Pierrelatte;Drôme;Auvergne-Rhône-Alpes;Grenoble;06/06/2020;06/06/2020
AF.23721;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / littérature et langues et cultures de l'Antiquité / physique-chimie / sciences de la vie et de la Terre / LLCER anglais";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5296;9840465H;"Lycée La Mennais";"54 rue Tepano Jaussen";"BP 123";98713;Papeete;"Polynésie française";"Collectivités d'outre-mer";"Collectivités d'Outre Mer";06/06/2020;26/03/2021
AF.23723;"sciences économiques et sociales / arts : arts plastiques / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / physique-chimie / sciences de la vie et de la Terre / langues, littératures et cultures étrangères et régionales";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4862;0340881Y;"Lycée privé Notre-Dame de la Merci";"62 cours Gambetta";;34965;Montpellier;Hérault;Occitanie;Montpellier;06/06/2020;06/06/2020
AF.23729;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12636;0631032E;"Lycée général privé Saint-Pierre";"Rue Saint-Pierre";"BP 10";63120;Courpière;Puy-de-Dôme;Auvergne-Rhône-Alpes;Clermont-Ferrand;06/06/2020;01/02/2022
AF.23738;"histoire-géographie, géopolitique et sciences politiques / humanités, littérature et philosophie / LLCER anglais / mathématiques / physique-chimie / sciences de la vie et de la Terre / sciences économiques et sociales / littérature et langues et cultures de l'Antiquité / numérique et sciences informatiques / arts : arts plastiques / arts : musique";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14345;0890003V;"Lycée général Jacques Amyot";"3 rue de l'Étang Saint-Vigile";;89015;Auxerre;Yonne;Bourgogne-Franche-Comté;Dijon;06/06/2020;17/03/2022
AF.26260;"sciences économiques et sociales / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / physique-chimie / sciences de la vie et de la Terre";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6445;0930936M;"Lycée polyvalent privé Saint-Benoist de l'Europe";"82 avenue Gambetta";;93170;Bagnolet;Seine-Saint-Denis;Ile-de-France;Créteil;06/06/2020;06/06/2020
AF.28919;"sciences économiques et sociales / arts : arts plastiques / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / littérature et langues et cultures de l'Antiquité / physique-chimie / sciences de la vie et de la Terre";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7845;0670079X;"Lycée Fustel de Coulanges";"1 place du Château";"BP 50075";67061;Strasbourg;Bas-Rhin;"Grand Est";Strasbourg;06/06/2020;06/06/2020
AF.29066;"sciences économiques et sociales / arts : arts plastiques / arts : théâtre / arts : musique / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais / LLCER espagnol / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11201;0460007H;"Lycée général et technologique Clément Marot";"59 rue des Augustins";"BP 285";46000;Cahors;Lot;Occitanie;Toulouse;06/06/2020;27/01/2022
AF.29220;"sciences économiques et sociales / arts : histoire des arts / arts : arts plastiques / arts : musique / humanités, littérature et philosophie / arts : cinéma - audiovisuel / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / mathématiques / littérature et langues et cultures de l'Antiquité / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain / LLCER espagnol / LLCER anglais";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9439;9740001H;"Lycée général et technologique Leconte de Lisle";"3 allée des étudiants, Cité scolaire du Butor";"BP 40037";97490;Saint-Denis;"La Réunion";"La Réunion";"La Réunion";06/06/2020;18/02/2026
AF.29317;"sciences économiques et sociales / arts : arts plastiques / humanités, littérature et philosophie / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / littérature et langues et cultures de l'Antiquité / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9741;0840072X;"Lycée Saint-Joseph";"62 rue des Lices";;84000;Avignon;Vaucluse;"Provence-Alpes-Côte d'Azur";Aix-Marseille;06/06/2020;06/06/2020
AF.29338;"sciences économiques et sociales / arts : histoire des arts / humanités, littérature et philosophie / arts : cinéma - audiovisuel / histoire-géographie, géopolitique et sciences politiques / mathématiques / littérature et langues et cultures de l'Antiquité / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / langues, littératures et cultures étrangères et régionales";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8745;6200001G;"Lycée Fesch";"5 cours Grandval";"BP 311";20176;Ajaccio;Corse-du-Sud;Corse;Corse;06/06/2020;06/06/2020
AF.29366;"sciences de l'ingénieur / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15343;0771336J;"Lycée polyvalent les Pannevelles";"Route de Chalautre la Petite";"CS 60330";77481;Provins;Seine-et-Marne;Ile-de-France;Créteil;06/06/2020;06/06/2020
AF.29368;"sciences économiques et sociales / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15152;0931797Y;"Lycée polyvalent privé La Salle Saint-Denis";"6-8 place de la Résistance";;93200;Saint-Denis;Seine-Saint-Denis;Ile-de-France;Créteil;06/06/2020;15/02/2022
AF.29374;"sciences économiques et sociales / arts : arts plastiques / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14041;0312915A;"Lycée polyvalent Léon Blum";"8 chemin du tracas";"BP 34";31290;Villefranche-de-Lauragais;Haute-Garonne;Occitanie;Toulouse;06/06/2020;12/04/2021
AF.29388;"sciences économiques et sociales / LLCER espagnol / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / numérique et sciences informatiques / LLCER allemand / physique-chimie / sciences de la vie et de la Terre / LLCER italien / arts : arts plastiques / arts : théâtre";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9853;0831242Z;"Lycée du Golfe de Saint-Tropez";"1509 RD 559";;83580;Gassin;Var;"Provence-Alpes-Côte d'Azur";Nice;06/06/2020;16/04/2025
AF.29396;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / littérature et langues et cultures de l'Antiquité / physique-chimie / sciences de la vie et de la Terre / LLCER anglais";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10203;9830377T;"Lycée polyvalent privé Do Kamo (ASEE)";"15 bis rue Taragnat, Vallée des Colons";"BP 615";98845;Nouméa;Nouvelle-Calédonie;"Collectivités d'outre-mer";"Collectivités d'Outre Mer";06/06/2020;26/03/2021
AF.29403;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7288;0331491S;"Lycée privé Albert Le Grand";"189 rue de Saint-Genès";;33000;Bordeaux;Gironde;Nouvelle-Aquitaine;Bordeaux;06/06/2020;22/02/2021
AF.29411;"sciences économiques et sociales / humanités, littérature et philosophie / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / mathématiques / sciences de la vie et de la Terre / langues, littératures et cultures étrangères et régionales";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18718;0772737G;"Lycée d'État de Sourdun - internat d'excellence";"100 rue de Paris";"BP 20001";77171;Sourdun;Seine-et-Marne;Ile-de-France;Créteil;06/06/2020;06/06/2020
AF.29424;"histoire-géographie, géopolitique et sciences politiques / humanités, littérature et philosophie / mathématiques / physique-chimie / sciences de la vie et de la Terre / sciences économiques et sociales";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2829;0383242T;"Lycée général international Europole";"4 place de Sfax, Europole";"BP 1570";38012;Grenoble;Isère;Auvergne-Rhône-Alpes;Grenoble;06/06/2020;24/02/2026
AF.29435;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / physique-chimie / sciences de la vie et de la Terre / langues, littératures et cultures étrangères et régionales";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10228;0341765J;"Lycée privé Rabelais";"36 rue des Aiguerelles";;34000;Montpellier;Hérault;Occitanie;Montpellier;06/06/2020;06/06/2020
AF.29445;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10586;9720727H;"Lycée général et technologique Montgérald";"Quartier Diaka Montgérald";;97290;"Le Marin";Martinique;Martinique;Martinique;06/06/2020;26/02/2021
AF.29452;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11360;0610692W;"Lycée Saint-François de Sales";"100 rue Labillardière";"BP 217";61007;Alençon;Orne;Normandie;Normandie;06/06/2020;12/02/2021
AF.29471;"sciences économiques et sociales / humanités, littérature et philosophie / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13826;0730763H;"Lycée général et technologique privé Saint-Ambroise - Assomption Chambéry";"2 rue Burdin";;73000;Chambéry;Savoie;Auvergne-Rhône-Alpes;Grenoble;06/06/2020;25/06/2024
AF.29476;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17648;0420041S;"Lycée Claude Fauriel";"28 avenue de la Libération";"BP 506";42007;Saint-Etienne;Loire;Auvergne-Rhône-Alpes;Lyon;06/06/2020;31/01/2023
AF.29478;"biologie-écologie / mathématiques / physique-chimie";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5665;0530081A;"Agricampus de Laval";"321 route de Saint-Nazaire";"CS 81319";53013;Laval;Mayenne;"Pays de la Loire";Nantes;06/06/2020;06/06/2020
AF.29496;"sciences économiques et sociales / humanités, littérature et philosophie / arts : arts du cirque / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / littérature et langues et cultures de l'Antiquité / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain / LLCER espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7029;0860003L;"Lycée Marcelin Berthelot";"1 avenue du Président Wilson";"BP 617";86106;Châtellerault;Vienne;Nouvelle-Aquitaine;Poitiers;06/06/2020;22/02/2021
AF.29507;"sciences économiques et sociales / humanités, littérature et philosophie / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / langues, littératures et cultures étrangères et régionales / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2994;0772292Y;"Lycée Martin Luther King";"21 avenue du Général de Gaulle";;77600;Bussy-Saint-Georges;Seine-et-Marne;Ile-de-France;Créteil;06/06/2020;12/03/2021
AF.29527;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / physique-chimie / sciences de la vie et de la Terre";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15913;0061987C;"Lycée de la Montagne";"Quartier du Clôt";;6420;Valdeblore;Alpes-Maritimes;"Provence-Alpes-Côte d'Azur";Nice;06/06/2020;05/04/2022
